WARNING: Final field name in class ghidra.util.charset.CharsetInfo has been mutated reflectively by class com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$2 in unnamed module @28b46423 (file:/opt/ghidra/Ghidra/Framework/Generic/lib/gson-2.13.2.jar)
WARNING: Use --enable-final-field-mutation=ALL-UNNAMED to avoid a warning
WARNING: Mutating final fields will be blocked in a future release unless final field mutation is enabled
SWEPT SCOPE -- memory blocks in BCM_OwnerFlash/cflash.bin:
   CFLASH               00000000 .. 0017ffff
   SHADOW               00200000 .. 00203fff
   DFLASH               00800000 .. 0080ffff
   SRAM                 40000000 .. 40017fff
   PBRIDGE_A            c3f00000 .. c3ffffff
   PBRIDGE_B            ffe00000 .. ffffffff
SCAN SCOPE: all references-to 0x031360 across the whole image.

getReferencesTo(0x031360): 782 refs
  by type: {'UNCONDITIONAL_CALL': 782}

SITE       FLAG         BIT FUNC
0x05DB2E   None         1   FUN_0005da8e@0005da8e
0x05DB42   None         1   FUN_0005da8e@0005da8e
0x05DB56   None         1   FUN_0005da8e@0005da8e
0x05DB6A   None         1   FUN_0005da8e@0005da8e
0x05DB7E   None         1   FUN_0005da8e@0005da8e
0x05DB92   None         1   FUN_0005da8e@0005da8e
0x05DBB4   0x00000012   1   FUN_0005da8e@0005da8e
0x05DBCE   0x00000012   1   FUN_0005da8e@0005da8e
0x05DBE8   0x00000012   1   FUN_0005da8e@0005da8e
0x05DC02   0x00000012   1   FUN_0005da8e@0005da8e
0x05DC16   0x00000012   1   FUN_0005da8e@0005da8e
0x05DC2A   0x00000012   1   FUN_0005da8e@0005da8e
0x05DC3E   0x00000012   1   FUN_0005da8e@0005da8e
0x05DC52   0x00000012   1   FUN_0005da8e@0005da8e
0x05DC6C   0x00000012   1   FUN_0005da8e@0005da8e
0x05DC86   0x00000012   1   FUN_0005da8e@0005da8e
0x05DCA0   0x00000012   1   FUN_0005da8e@0005da8e
0x05DCBA   0x00000012   1   FUN_0005da8e@0005da8e
0x05DCD8   0x00000018   1   FUN_0005dcc4@0005dcc4
0x05DCF6   0x00000018   1   FUN_0005dce2@0005dce2
0x05DD14   0x00000018   1   FUN_0005dd00@0005dd00
0x05DD32   0x00000018   1   FUN_0005dd1e@0005dd1e
0x05DD46   0x00000018   1   FUN_0005dd1e@0005dd1e
0x05DD60   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DD74   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DD88   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DD9C   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DDB0   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DDCA   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DDE4   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DDFE   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DE18   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DE2C   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DE40   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DE54   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DE68   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DE82   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DE9C   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DEB6   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DED0   0x00000012   1   FUN_0005dd1e@0005dd1e
